Character,Player,Opponent,Tournament,TournamentNumber
Kyanta,Cosmic,TricksterPriest,UFD7,7
Anna,Squid,Parappa,UFD7,7
Well Done,Parappa,Squid,UFD7,7
Hisomi,Dcint,Tension,UFD7,7
Hatoyan,Tension,Dcint,UFD7,7
Hatoyan,Jawn,Boog,UFD7,7
Robo Azuma,Boog,Jawn,UFD7,7
Azuma,Boog,Cosmic,UFD7,7
Hatoyan,Cosmic,Boog,UFD7,7
Gyanta,Squid,Dcint,UFD7,7
Kyanta,Dcint,Squid,UFD7,7
Gyanta,Boog,Dcint,UFD7,7
Rare,Dcint,Boog,UFD7,7
Hisomi,Jawn,Tension,UFD7,7
Tsuki,Tension,Jawn,UFD7,7
Gyanta,Jawn,Dcint,UFD7,7
Tsuki,Dcint,Jawn,UFD7,7
Hatoyan,Tension,Dcint,UFD7,7
Anna,Dcint,Tension,UFD7,7
Anna,Squid,Parappa,UFD8,8
Sendou,Parappa,Squid,UFD8,8
Garasha,Dcint,Squid,UFD8,8
Cocorn,Squid,Dcint,UFD8,8
Azuma,Tension,Cosmic,UFD8,8
Hisomi,Cosmic,Tension,UFD8,8
Well Done,Jawn,Poke,UFD8,8
Tsuki,Poke,Jawn,UFD8,8
Anna,Boog,Captain Valentine,UFD8,8
Cocorn,Captain Valentine,Boog,UFD8,8
Chihiro,Captain Valentine,Parappa,UFD8,8
Tsuki,Parappa,Captain Valentine,UFD8,8
Rare,Parappa,Poke,UFD8,8
Anna,Poke,Parappa,UFD8,8
Sendou,Cosmic,Squid,UFD8,8
M. Michelle,Squid,Cosmic,UFD8,8
Spike,Dcint,Tension,UFD8,8
Kyanta,Tension,Dcint,UFD8,8
Tsuki,Jawn,Boog,UFD8,8
Natanee,Boog,Jawn,UFD8,8
Chihiro,Dcint,Poke,UFD8,8
Cocorn,Poke,Dcint,UFD8,8
Azuma,Boog,Cosmic,UFD8,8
Tsuki,Cosmic,Boog,UFD8,8
Nanatsu,Tension,Jawn,UFD8,8
Rogue,Jawn,Tension,UFD8,8
M. Michelle,Dcint,Cosmic,UFD8,8
Gyanta,Cosmic,Dcint,UFD8,8
M. Michelle,Tension,Cosmic,UFD8,8
Anna,Cosmic,Tension,UFD8,8
Gyanta,Jawn,Cosmic,UFD8,8
Tsuki,Cosmic,Jawn,UFD8,8
Gyanta,Jawn,Cosmic,UFD8,8
Tsuki,Cosmic,Jawn,UFD8,8
Anna,Poke,Parappa,UFD9,9
Well Done,Parappa,Poke,UFD9,9
Garasha,Tension,Squid,UFD9,9
Chihiro,Squid,Tension,UFD9,9
Jakor,Jawn,Poke,UFD9,9
Robo Azuma,Poke,Jawn,UFD9,9
Anna,Cosmic,Tension,UFD9,9
Tsuki,Tension,Cosmic,UFD9,9
Anna,Cosmic,Parappa,UFD9,9
Rare,Parappa,Cosmic,UFD9,9
Garasha,Jawn,Squid,UFD9,9
Tsuki,Squid,Jawn,UFD9,9
Robo Azuma,Cosmic,Jawn,UFD9,9
Gyanta,Jawn,Cosmic,UFD9,9
Anna,Poke,Tension,UFD9,9
Tsuki,Tension,Poke,UFD9,9
Robo Azuma,Poke,Jawn,UFD9,9
Kyanta,Jawn,Poke,UFD9,9
Tsuki,Tension,Jawn,UFD9,9
Rogue,Jawn,Tension,UFD9,9
Tsuki,Tension,Jawn,UFD9,9
Rogue,Jawn,Tension,UFD9,9
Gyanta,Cosmic,Dcint,UFD10,10
Tsuki,Dcint,Cosmic,UFD10,10
Jakor,Jawn,Parappa,UFD10,10
Nanatsu,Parappa,Jawn,UFD10,10
Gyanta,Tension,Squid,UFD10,10
Anna,Squid,Tension,UFD10,10
Sendou,Parappa,Squid,UFD10,10
Anna,Squid,Parappa,UFD10,10
Rogue,Jawn,Tension,UFD10,10
Tsuki,Tension,Jawn,UFD10,10
Tsuki,Tension,Cosmic,UFD10,10
Anna,Cosmic,Tension,UFD10,10
Anna,Cosmic,Parappa,UFD10,10
Rare,Parappa,Cosmic,UFD10,10
Gyanta,Cosmic,Dcint,UFD10,10
Tsuki,Dcint,Cosmic,UFD10,10
Gyanta,Jawn,Dcint,UFD10,10
Tsuki,Dcint,Jawn,UFD10,10
Cocorn,Jawn,Dcint,UFD10,10
Tsuki,Dcint,Jawn,UFD10,10
Cocorn,Jawn,Dcint,UFD10,10
Tsuki,Dcint,Jawn,UFD10,10
Gyanta,Jawn,Dcint,UFD11,11
Rare,Dcint,Jawn,UFD11,11
Sendou,Dcint,Squid,UFD11,11
Cocorn,Squid,Dcint,UFD11,11
Chihiro,Boog,Poke,UFD11,11
Hatoyan,Dcint,Boog,UFD11,11
Cocorn,Parappa,Tension,UFD11,11
Gyanta,Tension,Parappa,UFD11,11
M. Michelle,Captain Valentine,Cosmic,UFD11,11
Jakor,Cosmic,Captain Valentine,UFD11,11
Kyanta,Dcint,Poke,UFD11,11
Gyanta,Poke,Dcint,UFD11,11
Tsuki,Tension,Cosmic,UFD11,11
Anna,Cosmic,Tension,UFD11,11
M. Michelle,Dcint,Cosmic,UFD11,11
Gyanta,Cosmic,Dcint,UFD11,11
Tsuki,Cosmic,Jawn,UFD11,11
M. Michelle,Jawn,Cosmic,UFD11,11
Tsuki,Cosmic,Jawn,UFD11,11
M. Michelle,Jawn,Cosmic,UFD11,11
Rare,Captain Valentine,Jawn,UFD11,11
Anna,Jawn,Captain Valentine,UFD11,11
Jakor,Jawn,Parappa,UFD11,11
Nanatsu,Parappa,Jawn,UFD11,11
Kyanta,Jawn,Poke,UFD11,11
Robo Azuma,Poke,Jawn,UFD11,11
Cocorn,Jawn,Boog,UFD11,11
Hisomi,Boog,Jawn,UFD11,11
Gyanta,Jawn,Dcint,UFD11,11
Tsuki,Dcint,Jawn,UFD11,11
Garasha,Boog,Squid,UFD11,11
Cocorn,Squid,Boog,UFD11,11
Tsuki,Tension,Boog,UFD11,11
Anna,Boog,Tension,UFD11,11
Rare,Squid,Jawn,UFD12,12
Kyanta,Jawn,Squid,UFD12,12
Rogue,Boog,Tension,UFD12,12
Tsuki,Tension,Boog,UFD12,12
Tsuki,Parappa,Cosmic,UFD12,12
Anna,Cosmic,Parappa,UFD12,12
Hatoyan,Poke,Dcint,UFD12,12
Kyanta,Dcint,Poke,UFD12,12
Hatoyan,Jawn,Boog,UFD12,12
Robo Azuma,Boog,Jawn,UFD12,12
Kyanta,Parappa,Poke,UFD12,12
Anna,Poke,Parappa,UFD12,12
Anna,Squid,Tension,UFD12,12
Tsuki,Tension,Squid,UFD12,12
Gyanta,Cosmic,Dcint,UFD12,12
Anna,Dcint,Cosmic,UFD12,12
Nanatsu,Cosmic,Jawn,UFD12,12
M. Michelle,Jawn,Cosmic,UFD12,12
Chihiro,Squid,Parappa,UFD12,12
Kyanta,Parappa,Squid,UFD12,12
Gyanta,Dcint,Tension,UFD12,12
Hatoyan,Tension,Dcint,UFD12,12
Jakor,Jawn,Parappa,UFD12,12
Rare,Parappa,Jawn,UFD12,12
Cocorn,Jawn,Tension,UFD12,12
Tsuki,Tension,Jawn,UFD12,12
Gyanta,Jawn,Dcint,UFD12,12
Rare,Dcint,Jawn,UFD12,12
Gyanta,Jawn,Dcint,UFD12,12
Rare,Dcint,Jawn,UFD12,12
Nanatsu,Dcint,Jawn,UFD13,13
Gyanta,Jawn,Dcint,UFD13,13
Nanatsu,Captain Valentine,Jawn,UFD13,13
Jakor,Jawn,Captain Valentine,UFD13,13
Kyanta,Parappa,Poke,UFD13,13
Chihiro,Poke,Parappa,UFD13,13
Tsuki,Squid,Cosmic,UFD13,13
Garasha,Cosmic,Squid,UFD13,13
Hatoyan,Gravfu,Tension,UFD13,13
Tsuki,Tension,Gravfu,UFD13,13
Chihiro,Jawn,Parappa,UFD13,13
Rare,Parappa,Jawn,UFD13,13
Hatoyan,Cosmic,Tension,UFD13,13
Tsuki,Tension,Cosmic,UFD13,13
Gyanta,Jawn,Cosmic,UFD13,13
Nanatsu,Cosmic,Jawn,UFD13,13
Gyanta,Jawn,Cosmic,UFD13,13
Rare,Cosmic,Jawn,UFD13,13
Gyanta,Jawn,Cosmic,UFD13,13
Rare,Cosmic,Jawn,UFD13,13
Garasha,Dcint,Squid,UFD13,13
Cocorn,Squid,Dcint,UFD13,13
Zacky Wild,Poke,Captain Valentine,UFD13,13
Gyanta,Captain Valentine,Poke,UFD13,13
Gyanta,Parappa,Dcint,UFD13,13
Chihiro,Dcint,Parappa,UFD13,13
Tsuki,Tension,Poke,UFD13,13
Anna,Poke,Tension,UFD13,13
Anna,Poke,Parappa,UFD13,13
Kyanta,Parappa,Poke,UFD13,13
Kyanta,Parappa,Cosmic,UFD13,13
Anna,Cosmic,Parappa,UFD13,13
K. Kyanta,Tension,Dcint,UFD14,14
Hatoyan,Dcint,Tension,UFD14,14
Nanatsu,Poke,Jawn,UFD14,14
Jakor,Jawn,Poke,UFD14,14
Anna,Cosmic,Parappa,UFD14,14
Kyanta,Parappa,Cosmic,UFD14,14
Hisomi,Pnuema,Tension,UFD14,14
Garasha,Boog,Squid,UFD14,14
Hatoyan,Squid,Boog,UFD14,14
Robo Azuma,Captain Valentine,Jawn,UFD14,14
Anna,Jawn,Captain Valentine,UFD14,14
Rare,Cosmic,Jawn,UFD14,14
M. Michelle,Jawn,Cosmic,UFD14,14
Tsuki,Tension,Boog,UFD14,14
Anna,Boog,Tension,UFD14,14
Hatoyan,Cosmic,Tension,UFD14,14
Tsuki,Tension,Cosmic,UFD14,14
Anna,Cosmic,Tension,UFD14,14
Tsuki,Tension,Cosmic,UFD14,14
Sendou,Squid,Poke,UFD14,14
Garasha,Poke,Squid,UFD14,14
Anna,Pnuema,Parappa,UFD14,14
Gyanta,Captain Valentine,Dcint,UFD14,14
Anna,Dcint,Captain Valentine,UFD14,14
Anna,Poke,Parappa,UFD14,14
Kyanta,Parappa,Poke,UFD14,14
Kyanta,Jawn,Poke,UFD14,14
Rare,Poke,Jawn,UFD14,14
Michelle,Boog,Dcint,UFD14,14
Tsuki,Dcint,Boog,UFD14,14
Kyanta,Dcint,Poke,UFD14,14
Cocorn,Poke,Dcint,UFD14,14
Tsuki,Dcint,Cosmic,UFD14,14
Cocorn,Cosmic,Dcint,UFD14,14
Gyanta,Tension,Cosmic,UFD15,15
Rogue,Cosmic,Tension,UFD15,15
Cocorn,Poke,Dcint,UFD15,15
Kyanta,Dcint,Poke,UFD15,15
Rare,Parappa,Jawn,UFD15,15
Chihiro,Jawn,Parappa,UFD15,15
Gyanta,Captain Valentine,Cosmic,UFD15,15
Anna,Cosmic,Captain Valentine,UFD15,15
Sendou,Squid,Poke,UFD15,15
Well Done,Poke,Squid,UFD15,15
Tsuki,Squid,Boog,UFD15,15
Garasha,Boog,Squid,UFD15,15
Gyanta,AaronDaGawd,Dcint,UFD15,15
Anna,Captain Valentine,Parappa,UFD15,15
Tsuki,Parappa,Captain Valentine,UFD15,15
Gyanta,AaronDaGawd,Cosmic,UFD15,15
Tsuki,Tension,Boog,UFD15,15
Rogue,Boog,Tension,UFD15,15
Anna,Dcint,Parappa,UFD15,15
K. Kyanta,Parappa,Dcint,UFD15,15
M. Michelle,Boog,Cosmic,UFD15,15
Hatoyan,Cosmic,Boog,UFD15,15
Rare,Parappa,Jawn,UFD15,15
Chihiro,Jawn,Parappa,UFD15,15
K. Kyanta,Tension,Dcint,UFD15,15
Anna,Dcint,Tension,UFD15,15
Rare,Cosmic,Jawn,UFD15,15
Tsuki,Jawn,Cosmic,UFD15,15
Gyanta,Tension,Cosmic,UFD15,15
Hatoyan,Cosmic,Tension,UFD15,15
Gyanta,Tension,Dcint,UFD15,15
Anna,Dcint,Tension,UFD15,15
Gyanta,Tension,Dcint,UFD15,15
Anna,Dcint,Tension,UFD15,15
Kyanta,Jawn,Poke,UFD15,15
Nanatsu,Poke,Jawn,UFD15,15
Michelle,Cosmic,Dcint,UFD16,16
Tsuki,Dcint,Cosmic,UFD16,16
Hisomi,Jawn,Tension,UFD16,16
Tsuki,Tension,Jawn,UFD16,16
Hisomi,Squid,Tension,UFD16,16
Azuma,Tension,Squid,UFD16,16
Gyanta,Cherub,Cosmic,UFD16,16
Chihiro,Squid,Parappa,UFD16,16
Garasha,Parappa,Squid,UFD16,16
Nanatsu,Captain Valentine,Jawn,UFD16,16
Jakor,Jawn,Captain Valentine,UFD16,16
Hatoyan,Captain Valentine,Dcint,UFD16,16
Myusha,Dcint,Captain Valentine,UFD16,16
Rogue,Cherub,Tension,UFD16,16
Anna,Cosmic,Parappa,UFD16,16
Gyanta,Parappa,Cosmic,UFD16,16
Sendou,Jawn,Poke,UFD16,16
Rare,Poke,Jawn,UFD16,16
Cocorn,Parappa,Dcint,UFD16,16
Sendou,Dcint,Parappa,UFD16,16
Rogue,Poke,Tension,UFD16,16
Gyanta,Tension,Poke,UFD16,16
Hisomi,Dcint,Tension,UFD16,16
Gyanta,Tension,Dcint,UFD16,16
M. Michelle,Jawn,Cosmic,UFD16,16
Rare,Cosmic,Jawn,UFD16,16
Hisomi,Jawn,Tension,UFD16,16
Myusha,Tension,Jawn,UFD16,16
Hatoyan,Jawn,Cosmic,UFD16,16
Rare,Cosmic,Jawn,UFD16,16
Tsuki,Parappa,Cherub,UFD17,17
Sendou,Cherub,Parappa,UFD17,17
Sendou,Jawn,Parappa,UFD17,17
Rare,Parappa,Jawn,UFD17,17
Kyanta,Cosmic,Poke,UFD17,17
Gyanta,Poke,Cosmic,UFD17,17
Rare,Pnuema,Tension,UFD17,17
Garasha,Dcint,Squid,UFD17,17
Gyanta,Squid,Dcint,UFD17,17
Anna,Squid,Cherub,UFD17,17
Garasha,Cherub,Squid,UFD17,17
Jakor,Jawn,Poke,UFD17,17
Rare,Poke,Jawn,UFD17,17
Myusha,Cosmic,Pnuema,UFD17,17
Tsuki,Pnuema,Cosmic,UFD17,17
Rare,Dcint,Jawn,UFD17,17
Gyanta,Jawn,Dcint,UFD17,17
Michelle,Cosmic,Dcint,UFD17,17
Hatoyan,Dcint,Cosmic,UFD17,17
Gyanta,Tension,Cosmic,UFD17,17
Anna,Cosmic,Tension,UFD17,17
Tsuki,Parappa,Cosmic,UFD17,17
Anna,Cosmic,Parappa,UFD17,17
Gyanta,Tension,Dcint,UFD17,17
Hatoyan,Dcint,Tension,UFD17,17
Cocorn,Parappa,Tension,UFD17,17
Sendou,Tension,Parappa,UFD17,17
Tsuki,Parappa,Cosmic,UFD17,17
Sendou,Cosmic,Parappa,UFD17,17
Tsuki,Parappa,Cosmic,UFD17,17
Sendou,Cosmic,Parappa,UFD17,17
